nump;retard;name;Len;Lfeuille;Largfeuille;x;y
0;44.125731070209966;Fix2;3.5757026172983837;4.000978737984106;-0.9995998427916328;2.5;2.5
1;9.051328429482751;nonFixSimTest;3.478922683438888;4.0008235041539635;-0.9992282094487863;2.5;7.5
2;19.804283278823682;Fix2;3.53500442087628;3.9998967811482062;-1.0001513572082976;2.5;12.5
3;35.557553511909894;nonFixSimTest;3.475531041121204;4.000655263730723;-0.9989003404041129;2.5;17.5
4;14.754766587178935;Fix2;3.52555188625735;4.0004438632327455;-0.9998783249835071;2.5;22.5
5;28.91819965822393;nonFixSimTest;3.450598454539716;3.999901849610357;-0.9997200754009568;2.5;27.5
6;32.687947309122855;Fix2;3.503153385082545;3.9974470101841657;-1.0008540957393017;2.5;32.5
7;17.533511770935178;nonFixSimTest;3.464179045163203;3.9995899503067975;-1.0009444462559183;2.5;37.5
8;10.364439533109618;nonFixSimTest;3.486648979306928;4.002259308950691;-0.999620848264445;7.5;2.5
9;32.908316118736565;Fix2;3.4781408074987086;4.0014693587699;-0.9984672207856415;7.5;7.5
10;44.89874555302796;nonFixSimTest;3.4643202012676957;3.9984592029855555;-0.9995185185262265;7.5;12.5
11;20.295275541787426;Fix2;3.388460176588804;4.000156348969104;-1.0003479121493262;7.5;17.5
12;24.99498024306496;nonFixSimTest;3.4576341965517323;3.9985759390910176;-1.000237921729736;7.5;22.5
13;54.685076408740166;Fix2;3.4723848624712335;3.998579982062821;-1.001048552965067;7.5;27.5
14;21.616653512275942;nonFixSimTest;3.4296908784089046;4.001494484544492;-0.99921880189829;7.5;32.5
15;22.287650054209095;Fix2;3.465596284919441;4.000777490355832;-1.0012527953600499;7.5;37.5
16;66.06178998447854;Fix2;3.4068051076221026;3.9991045334388065;-1.000212740280214;12.5;2.5
17;7.03376110689555;nonFixSimTest;3.472610456029914;3.99832399619367;-1.000309012969047;12.5;7.5
18;41.94698760440326;Fix2;3.4860908885830675;4.0000665172223835;-0.9995716681294696;12.5;12.5
19;0;nonFixSimTest;3.4141787836098745;3.999424212030187;-0.9994789351235472;12.5;17.5
20;21.04555877871447;Fix2;3.453876977611203;3.9991868537179553;-1.0003595531615406;12.5;22.5
21;52.555213237229054;nonFixSimTest;3.5222374571828006;3.998616636044605;-1.0007255973784637;12.5;27.5
22;48.32154619615008;Fix2;3.405990082651698;3.999092701635617;-0.9995372177444742;12.5;32.5
23;16.483197744069248;nonFixSimTest;3.462159182285066;3.9999474327037303;-1.0005963140384506;12.5;37.5
24;23.194519048130758;nonFixSimTest;3.3906860097076748;4.0005238910238345;-0.9998112214032062;17.5;2.5
25;31.20349563615917;Fix2;3.4532594954529845;3.9994211503352357;-1.000870797149182;17.5;7.5
26;11.128450534132991;nonFixSimTest;3.5074523172820067;4.001955912308251;-1.0027725927564266;17.5;12.5
27;38.283300075914994;Fix2;3.5325413243477097;3.998463756313723;-0.9995343375602695;17.5;17.5
28;63.41365938105327;nonFixSimTest;3.5121870888674596;3.9979693155322185;-1.0001161039390343;17.5;22.5
29;9.671377596730999;Fix2;3.4785037582093827;4.001054451726931;-1.0010707526215106;17.5;27.5
30;0.277003806700737;nonFixSimTest;3.4528975076107806;4.0002863436888925;-0.9984636229457542;17.5;32.5
31;34.32365618371614;Fix2;3.536331951824186;4.000706573168192;-0.9996436336028256;17.5;37.5
32;28.213150333731406;Fix2;3.4880250010360414;4.000126912092703;-0.9982141295060941;22.5;2.5
33;57.06494897879311;nonFixSimTest;3.4634486440769607;3.9989399841772784;-0.9976960833023161;22.5;7.5
34;27.594567314144847;Fix2;3.4239757500757135;3.998826876594886;-0.999030603291842;22.5;12.5
35;29.240104295269155;nonFixSimTest;3.516647683987665;4.000370055887847;-1.000399449029263;22.5;17.5
36;27.136891655981096;Fix2;3.5836471013240194;4.001867558960426;-0.9985194852085656;22.5;22.5
37;15.140906424775485;nonFixSimTest;3.4534910898001576;3.9995392802126113;-0.9993336169179681;22.5;27.5
38;40.09544976038079;Fix2;3.474099831452431;4.000947251967774;-0.9991975436042037;22.5;32.5
39;10.13876303291967;nonFixSimTest;3.479521328092687;4.001077743805976;-1.0001337015596685;22.5;37.5
40;47.497352073578014;nonFixSimTest;3.431158709562163;3.9996151201908186;-1.0007306777528648;27.5;2.5
41;30.125642692530672;Fix2;3.553819294834352;3.999850365459672;-1.0006945678597314;27.5;7.5
42;37.55445084567757;nonFixSimTest;3.4844186798952177;3.999280395611448;-1.0001073052762912;27.5;12.5
43;21.708529543189414;Fix2;3.5078730918120558;4.0005392491912914;-1.0007699160744452;27.5;17.5
44;16.197094982496893;nonFixSimTest;3.4296322370404577;3.999842332983836;-1.0003122922511256;27.5;22.5
45;57.003950406619495;Fix2;3.521321664747325;3.999791701244422;-0.999423409183385;27.5;27.5
46;37.02824673379169;nonFixSimTest;3.524859416710232;4.000773252977402;-1.0011889449552038;27.5;32.5
47;48.10504769048018;Fix2;3.509469585063227;4.000635031436892;-0.9998333265046274;27.5;37.5
48;32.806843466997144;Fix2;3.6066572387431974;3.999087177774556;-0.9990555205130096;32.5;2.5
49;69.17411290884071;nonFixSimTest;3.570477539809494;3.9995466141961487;-0.998931490600684;32.5;7.5
50;35.362500725466184;Fix2;3.484087919733769;3.9992552451779515;-0.9982866572783506;32.5;12.5
51;14.552927931954045;nonFixSimTest;3.4734822252407747;4.000156703855272;-1.0003646935443917;32.5;17.5
52;41.52763645431284;Fix2;3.5438317961053256;3.998852531347589;-1.0010799315083634;32.5;22.5
53;36.379486737864696;nonFixSimTest;3.415610426309921;3.99931055081545;-0.9986354681518975;32.5;27.5
54;0;Fix2;3.534971040346288;3.99877456448117;-0.9999124487586148;32.5;32.5
55;28.261436564080682;nonFixSimTest;3.463601299797976;4.0006203582983435;-1.0004796558140079;32.5;37.5
56;44.70298531776031;nonFixSimTest;3.522422857455367;4.0009318483741145;-0.9999962291109137;37.5;2.5
57;42.017475601751585;Fix2;3.5034363826471515;3.9993489744066997;-0.9991431693880973;37.5;7.5
58;24.908468875305168;nonFixSimTest;3.4779673253209302;3.999732266463106;-1.0003948495140333;37.5;12.5
59;11.810636774292036;Fix2;3.4530225111124904;4.000017479159025;-1.0004555325035174;37.5;17.5
60;37.369403239611415;nonFixSimTest;3.529581563203682;4.00004949498165;-1.000249458580161;37.5;22.5
61;12.812580812419277;Fix2;3.376329842388779;3.9983979423443934;-0.9993747685489728;37.5;27.5
62;49.870179936156845;nonFixSimTest;3.477154816191802;3.998301894180568;-0.9991198210879192;37.5;32.5
63;25.4059868010496;Fix2;3.564650729770337;4.000267050869349;-1.0012928569097235;37.5;37.5
